step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
68677,82.65683681415288,0.5194960832595825,58.311732820141785,-1.0,-1.0,0.21057522,-0.3340971,-37.57140398025513,1.0,160000,7237.0,8.834228515625
108978,82.6542335757404,0.5194535851478577,58.30921139148961,-0.962438,-1.0,-0.51432776,-0.4759978,-38.74110162258148,1.0,160000,47538.0,58.02978515625
137001,82.64836865458652,0.5193578600883484,58.3035307676113,0.03975165,-1.0,0.021342576,0.20070004,-39.78068888187408,1.0,110206,75561.0,92.237548828125
105185,82.62330463726789,0.5189490914344788,58.279254125689896,-0.6923568,-1.0,-0.57223505,1.0,-57.374444007873535,1.0,160000,43745.0,53.399658203125
136854,82.61425149400958,0.5188015699386597,58.27048529253037,-0.5934765,-1.0,-1.0,0.66998863,-39.88212764263153,1.0,160000,75414.0,92.05810546875
64256,82.58412166530317,0.518311083316803,58.241301333409,-1.0,-0.9641875,-0.3121884,-0.86650974,-20.0,1.0,160000,2816.0,3.4375000000000004
121009,82.57002427989606,0.5180818438529968,58.22764632745295,-1.0,-1.0,-0.059563458,-0.07521665,-20.0,1.0,160000,59569.0,72.716064453125
94976,82.53097568726783,0.5174477100372314,58.18982248768943,-0.9925379,-0.5805097,-0.16840374,-0.4814604,-35.7344663143158,1.0,160000,33536.0,40.9375
135791,82.52520684246427,0.5173541307449341,58.18423450706428,-0.1435985,0.15933478,-0.086293936,1.0,-40.592429637908936,1.0,160000,74351.0,90.760498046875
83080,82.52468131764846,0.5173456072807312,58.183725457490254,-1.0,-0.3443101,-0.25789055,0.3064981,-20.0,1.0,160000,21640.0,26.416015625
70661,82.5121418250481,0.5171422958374023,58.17157903172991,-1.0,-1.0,0.36190104,0.32420176,-56.80891036987305,1.0,160000,9221.0,11.256103515625
69034,82.50596662659413,0.5170422196388245,58.16559736972364,-0.61932087,-1.0,-1.0,0.88398707,-40.00402688980103,1.0,160000,7594.0,9.27001953125
