step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1927,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.04788828,-1.0,-0.414716,-1.0,-60.0,3.0104074478149414,160000
1928,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.5306729,-0.17308486,-1.0,-0.89944196,-34.119619727134705,9.143653869628906,32000
1929,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.6034963,-0.2798494,-1.0,-20.0,7.347445845603943,160000
1930,7.688639582313222,2.9322922756591652e-08,1.4661461378295826e-06,0.70365393,-0.18474036,-0.01791197,-0.1516579,-20.0,1.0,50698
1931,12.1539318972863,2.635126747918548e-06,0.0001317563373959274,-1.0,1.0,-0.33807555,1.0,-23.691405057907104,1.0,160000
1932,26.038545069244794,0.07309170812368393,3.6545854061841965,-1.0,-0.66616887,-0.6091374,1.0,-37.18874394893646,1.0,160000
1933,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.0065518618,-1.0,0.9406218,-1.0,-42.40434691309929,4.525056540966034,160000
1934,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-1.0,-0.041454315,-1.0,-20.0,3.933315634727478,160000
1935,9.478147100727886,1.8052691075354232e-07,9.026345537677116e-06,0.90849876,-1.0,0.0899086,0.12851986,-43.963844776153564,6.187055468559265,137836
1936,70.46322377151968,0.9111259579658508,45.55629789829254,-1.0,-0.6138742,-1.0,-0.73856765,-42.48510465025902,1.0,160000
1937,12.510458840973348,3.7641254948539427e-06,0.00018820627474269713,1.0,-1.0,-0.97525597,0.043561965,-20.948710441589355,2.2860000133514404,160000
1938,33.93293622421023,0.20988284051418304,10.494142025709152,-0.5715294,-0.7141856,-1.0,0.69474053,-20.0,1.0,160000
1939,10.345083636222714,4.3095781165902736e-07,2.1547890582951368e-05,-0.25403577,0.20116913,-0.667637,0.41343588,-46.06972813606262,11.0,65807
1940,21.518919532510132,0.01473244745284319,0.7366223726421595,-0.09533244,-0.8176333,-1.0,-0.21601948,-20.0,4.35701048374176,85222
1941,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.23219949,-0.66476536,-1.0,-1.0,-20.0,1.0,152281
1942,20.36380831864578,0.0068745999597013,0.343729997985065,-0.1387083,-0.8770934,-0.22174928,0.38498628,-21.41332745552063,1.0,160000
1943,26.877965463447183,0.08650936186313629,4.325468093156815,-1.0,-1.0,-0.79082036,-0.008904874,-60.0,1.0,160000
1944,17.87871746792796,0.0007769524236209691,0.03884762118104845,-0.44126177,-0.63585925,-0.18510151,0.7780278,-45.16470730304718,1.0,160000
1945,20.661027090734127,0.008522186428308487,0.42610932141542435,-1.0,-1.0,-1.0,1.0,-57.42605805397034,1.0,160000
