step,reward
2091,9.19
2092,5.3
2093,5.3
2094,9.07
2095,5.3
2096,5.3
2097,9.58
2098,9.91
2099,8.92
2100,5.3
2101,10.7
2102,9.37
2103,8.73
2104,8.58
2105,14.38
2106,5.3
2107,9.38
2108,5.3
2109,5.3
2110,10.61
2111,8.53
2112,8.29
2113,9.59
2114,10.46
2115,8.8
2116,5.3
2117,5.3
2118,9.87
2119,8.29
2120,8.78
2121,9.13
2122,6.45
2123,5.47
2124,5.3
2125,11.06
2126,8.62
2127,9.28
2128,9.28
2129,8.5
2130,5.3
2131,9.59
2132,11.58
2133,9.3
2134,9.35
2135,10.18
2136,9.22
2137,9.65
